CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600000,Cust0,679,Spain,Female,20,10,103030.48,1,1,0,95975.67,0
15600001,Cust1,519,France,Female,34,2,137646.65,1,1,1,199604.69,0
15600002,Cust2,589,Spain,Male,21,3,90894.5,1,0,0,46926.13,0
15600003,Cust3,748,Germany,Male,58,2,24410.32,2,0,0,184459.11,0
15600004,Cust4,746,France,Male,40,3,134543.75,4,1,1,72137.81,0
15600005,Cust5,620,Spain,Male,39,8,0.0,2,1,1,181456.69,0
15600006,Cust6,823,Spain,Male,40,5,178320.83,1,1,1,181946.17,0
15600007,Cust7,616,Spain,Female,44,9,0.0,1,1,0,76936.77,0
15600008,Cust8,694,France,Male,48,9,0.0,1,1,1,14833.45,0
15600009,Cust9,692,France,Male,22,3,27458.03,2,1,0,68196.08,1
15600010,Cust10,522,France,Female,51,8,104542.21,2,1,0,93467.04,0
15600011,Cust11,639,Spain,Male,50,5,104603.22,2,1,1,196939.74,0
15600012,Cust12,850,Germany,Male,37,4,163088.28,4,0,0,141356.48,0
15600013,Cust13,561,Spain,Male,37,3,0.0,1,1,1,130986.31,0
15600014,Cust14,710,France,Female,18,0,77086.34,1,1,1,132939.09,1
15600015,Cust15,539,France,Male,26,5,0.0,2,1,0,85893.81,0
15600016,Cust16,560,Germany,Female,43,7,0.0,1,1,0,141339.66,0
15600017,Cust17,514,France,Female,50,9,20821.97,1,0,0,63857.82,0
15600018,Cust18,740,Spain,Male,45,4,124323.8,1,0,1,153184.28,0
15600019,Cust19,566,Germany,Female,37,1,67786.46,2,1,1,134197.26,1
15600020,Cust20,772,Spain,Male,57,5,0.0,1,1,0,152054.81,1
15600021,Cust21,599,France,Male,48,3,100772.26,4,1,0,39606.68,1
15600022,Cust22,662,Spain,Male,34,10,0.0,2,1,0,115382.08,0
15600023,Cust23,689,Spain,Female,60,7,0.0,2,1,1,47235.08,0
15600024,Cust24,495,Spain,Male,27,9,0.0,1,0,0,69941.58,0
15600025,Cust25,670,France,Male,23,3,0.0,1,1,1,160668.0,0
15600026,Cust26,684,France,Female,34,4,98267.18,2,0,0,89884.69,0
15600027,Cust27,759,France,Male,30,0,110145.03,1,1,1,20419.69,0
15600028,Cust28,558,France,Female,34,1,44047.6,1,0,0,179593.71,0
15600029,Cust29,572,Germany,Female,46,4,0.0,1,1,0,31285.62,1
15600030,Cust30,713,Germany,Female,38,4,59670.77,2,1,0,104988.41,1
15600031,Cust31,786,Spain,Female,38,7,0.0,2,1,0,100841.06,0
15600032,Cust32,593,France,Female,39,2,0.0,2,0,1,86432.8,0
15600033,Cust33,531,France,Male,18,10,92601.46,2,1,1,11979.99,0
15600034,Cust34,620,France,Female,23,8,0.0,1,0,1,59035.07,0
15600035,Cust35,553,France,Female,34,9,115832.89,1,1,0,40403.29,0
15600036,Cust36,688,France,Female,30,3,21927.27,1,0,0,41917.58,0
15600037,Cust37,546,France,Female,36,6,0.0,2,1,1,34890.99,0
15600038,Cust38,743,France,Male,52,5,72028.44,1,0,0,166745.14,1
15600039,Cust39,670,Germany,Male,37,8,109373.67,2,1,1,30079.82,0
15600040,Cust40,746,France,Male,25,9,76668.24,1,1,1,73941.38,0
15600041,Cust41,417,Spain,Male,30,6,64814.55,1,1,1,120588.1,0
15600042,Cust42,481,Germany,Female,55,10,159225.04,2,1,0,18728.34,1
15600043,Cust43,774,France,Female,53,5,125824.06,1,1,0,110230.51,0
15600044,Cust44,581,Spain,Male,44,3,131782.55,1,1,0,98659.27,1
15600045,Cust45,509,Spain,Male,22,1,0.0,1,1,0,173178.5,1
15600046,Cust46,631,France,Female,41,4,50149.02,1,1,1,32938.02,0
15600047,Cust47,673,France,Male,42,3,132919.42,1,1,1,22049.13,0
15600048,Cust48,635,Germany,Female,38,2,0.0,1,1,1,38809.25,1
15600049,Cust49,695,France,Female,32,4,0.0,1,0,0,101017.53,0
15600050,Cust50,682,France,Male,34,2,0.0,2,1,0,30841.11,0
15600051,Cust51,677,France,Male,32,10,30860.75,2,1,0,127371.52,0
15600052,Cust52,779,Spain,Female,27,3,0.0,1,1,1,160956.11,0
15600053,Cust53,649,Germany,Male,52,6,0.0,3,0,0,115989.53,0
15600054,Cust54,646,Germany,Female,47,8,129087.52,1,0,1,78744.56,0
15600055,Cust55,727,Spain,Male,35,10,53484.56,2,1,1,95422.33,0
15600056,Cust56,703,France,Male,42,7,121660.08,3,1,1,56822.27,0
15600057,Cust57,563,Germany,Male,42,2,56507.6,2,1,0,172043.07,0
15600058,Cust58,641,France,Female,61,6,138901.81,1,1,1,72144.84,1
15600059,Cust59,692,France,Female,47,0,127355.78,3,0,0,173281.01,0
15600060,Cust60,594,Germany,Female,46,2,144062.27,1,1,1,193556.44,0
15600061,Cust61,598,France,Male,38,10,0.0,1,1,0,59322.51,0
15600062,Cust62,516,Germany,Female,34,0,0.0,2,1,0,173144.08,0
15600063,Cust63,373,Spain,Male,52,3,105158.81,1,1,1,169089.48,0
15600064,Cust64,614,Germany,Female,45,0,117862.36,1,1,0,126542.66,0
15600065,Cust65,662,Germany,Female,30,5,102910.95,2,0,1,168594.96,0
15600066,Cust66,545,Germany,Male,43,8,0.0,3,0,0,91422.56,0
15600067,Cust67,782,France,Female,46,0,114686.45,2,0,0,124943.94,0
15600068,Cust68,550,France,Male,18,1,120380.74,2,1,1,87680.29,0
15600069,Cust69,738,France,Male,29,9,50304.79,1,1,1,199788.89,0
15600070,Cust70,690,France,Male,42,3,0.0,2,1,0,111520.85,0
15600071,Cust71,850,France,Female,19,0,0.0,2,1,1,55839.11,0
15600072,Cust72,702,Spain,Male,20,1,69572.58,1,1,0,137655.87,0
15600073,Cust73,511,France,Female,35,9,0.0,1,1,0,154269.7,0
15600074,Cust74,751,France,Male,43,10,0.0,1,1,0,173793.29,0
15600075,Cust75,813,France,Female,43,1,0.0,1,1,0,13398.29,0
15600076,Cust76,480,France,Female,54,3,60077.66,2,1,0,152238.04,0
15600077,Cust77,711,Germany,Male,39,2,0.0,1,0,1,111277.2,1
15600078,Cust78,733,Germany,Female,34,5,0.0,2,1,0,148303.29,0
15600079,Cust79,630,Spain,Female,25,9,0.0,2,0,0,110672.82,0
15600080,Cust80,417,Germany,Male,34,8,187717.41,2,0,1,73309.15,0
15600081,Cust81,622,France,Male,45,4,164267.79,2,1,1,17638.38,1
15600082,Cust82,594,Spain,Male,46,7,142169.0,2,0,1,71546.52,1
15600083,Cust83,797,France,Female,41,2,0.0,3,1,1,134981.75,0
15600084,Cust84,641,France,Female,43,10,94421.86,2,0,1,12835.8,0
15600085,Cust85,610,France,Female,51,6,0.0,1,1,0,185158.19,1
15600086,Cust86,594,Germany,Female,39,10,144115.67,2,0,1,86470.89,0
15600087,Cust87,681,France,Female,52,2,0.0,2,1,1,22888.45,0
15600088,Cust88,655,France,Male,31,10,141482.5,2,1,0,177694.3,0
15600089,Cust89,574,Germany,Male,37,3,65317.12,1,1,1,45154.31,0
15600090,Cust90,675,France,Female,33,7,70359.08,2,1,1,22017.11,0
15600091,Cust91,597,Germany,Male,46,0,0.0,2,1,0,25828.04,0
15600092,Cust92,401,France,Male,28,2,49960.12,3,1,1,110793.2,0
15600093,Cust93,714,France,Female,35,5,115458.68,1,1,1,65036.75,0
15600094,Cust94,705,France,Female,19,5,36563.02,1,1,0,170102.63,0
15600095,Cust95,669,Germany,Female,44,1,55463.15,1,1,1,114112.92,0
15600096,Cust96,608,France,Male,50,0,0.0,2,1,1,63558.79,0
15600097,Cust97,643,France,Female,47,9,81648.58,1,1,1,121424.52,0
15600098,Cust98,729,France,Male,46,2,0.0,3,0,1,189421.26,0
15600099,Cust99,589,Spain,Male,46,8,188210.23,2,1,0,173990.21,1
15600100,Cust100,733,Spain,Female,45,1,0.0,1,0,1,36797.78,0
15600101,Cust101,508,Germany,Female,44,3,73475.08,1,1,1,175797.24,0
15600102,Cust102,666,France,Female,45,0,100992.06,2,1,0,80219.77,0
15600103,Cust103,652,Spain,Female,31,5,75795.17,2,1,0,83662.53,1
15600104,Cust104,746,Spain,Female,36,5,0.0,2,0,1,106268.89,0
15600105,Cust105,562,Germany,Male,39,6,0.0,2,1,0,156192.04,1
15600106,Cust106,572,France,Male,35,8,75590.49,2,0,0,90856.59,0
15600107,Cust107,516,France,Female,22,7,117339.03,1,1,0,135940.55,1
15600108,Cust108,596,France,Female,26,2,120423.04,1,0,0,43154.51,0
15600109,Cust109,675,Spain,Male,40,4,0.0,1,1,0,66772.79,0
15600110,Cust110,477,France,Male,47,0,0.0,1,1,1,190141.09,1
15600111,Cust111,607,France,Male,38,7,125997.92,2,1,1,90391.84,0
15600112,Cust112,709,France,Male,66,4,195855.16,1,1,0,148286.3,1
15600113,Cust113,640,Germany,Female,29,1,153916.18,2,1,1,26030.39,0
15600114,Cust114,657,France,Male,42,9,56724.47,1,0,0,16728.36,1
15600115,Cust115,505,Spain,Male,51,5,0.0,1,1,1,20953.32,0
15600116,Cust116,640,Spain,Female,49,0,195773.4,1,1,1,143570.59,0
15600117,Cust117,653,Germany,Male,45,1,0.0,1,1,1,21721.21,0
15600118,Cust118,634,France,Male,49,3,183013.7,1,0,0,124782.16,0
15600119,Cust119,665,Germany,Male,39,10,217996.68,2,1,1,58380.54,0
15600120,Cust120,620,Germany,Male,55,1,0.0,1,1,1,37529.0,0
15600121,Cust121,606,Germany,Male,51,4,0.0,1,1,1,141926.6,0
15600122,Cust122,550,France,Male,29,4,0.0,4,1,1,113801.37,0
15600123,Cust123,744,France,Male,41,6,0.0,1,1,0,179444.31,0
15600124,Cust124,532,France,Male,23,6,162576.64,2,1,1,148445.4,0
15600125,Cust125,665,France,Male,53,5,0.0,2,1,0,71994.75,0
15600126,Cust126,824,France,Male,40,8,0.0,1,1,0,34920.51,0
15600127,Cust127,756,France,Female,51,0,114538.49,1,1,1,131439.73,1
15600128,Cust128,699,France,Male,37,4,0.0,2,1,1,76664.69,0
15600129,Cust129,674,Germany,Male,19,0,98974.39,1,0,1,42283.99,0
15600130,Cust130,638,France,Female,64,3,1000.0,1,0,0,119303.95,0
15600131,Cust131,563,Spain,Male,39,2,91664.45,1,1,1,136063.43,0
15600132,Cust132,626,Germany,Male,28,9,137899.93,1,1,0,64969.95,0
15600133,Cust133,705,France,Female,49,7,0.0,2,0,0,147399.16,0
15600134,Cust134,687,Germany,Female,58,2,0.0,2,1,0,23867.1,0
15600135,Cust135,726,France,Male,36,7,97396.47,2,0,0,148912.23,0
15600136,Cust136,767,Spain,Female,37,9,0.0,1,1,1,30973.77,0
15600137,Cust137,635,France,Female,40,2,170585.77,3,1,0,141542.14,0
15600138,Cust138,668,Spain,Male,27,6,119872.42,2,1,0,93252.94,0
15600139,Cust139,468,France,Male,31,5,0.0,2,1,0,39699.98,0
15600140,Cust140,850,France,Male,56,10,0.0,2,0,0,14986.19,0
15600141,Cust141,610,France,Female,37,4,97984.06,2,1,1,170770.64,0
15600142,Cust142,713,Spain,Male,30,7,0.0,1,1,1,177268.94,0
15600143,Cust143,610,Germany,Male,33,6,117101.41,2,1,1,80931.7,1
15600144,Cust144,608,France,Male,49,3,0.0,2,0,1,135612.87,0
15600145,Cust145,627,France,Female,18,3,1000.0,1,1,1,175374.09,0
15600146,Cust146,530,France,Male,41,9,0.0,1,1,1,27930.37,0
15600147,Cust147,412,Germany,Male,63,9,104218.63,1,1,0,106631.48,0
15600148,Cust148,761,France,Male,58,2,0.0,2,1,0,91303.22,0
15600149,Cust149,702,France,Female,44,5,107786.66,2,1,1,51739.27,0
15600150,Cust150,562,Spain,Male,51,1,109043.07,2,1,1,58397.74,0
15600151,Cust151,693,Spain,Female,51,4,88377.24,2,1,0,184492.05,0
15600152,Cust152,729,France,Male,37,9,77733.8,1,1,0,142337.89,0
15600153,Cust153,583,Germany,Male,47,7,36865.16,2,1,0,129030.95,0
15600154,Cust154,690,France,Male,56,5,83368.29,1,1,0,133330.37,0
15600155,Cust155,747,Germany,Male,25,8,0.0,2,1,1,89097.56,0
15600156,Cust156,512,France,Male,44,6,74875.87,1,1,0,159853.6,0
15600157,Cust157,701,Germany,Female,42,4,135839.17,2,1,1,151960.74,0
15600158,Cust158,685,Germany,Male,39,0,0.0,1,1,0,93456.68,0
15600159,Cust159,831,Spain,Female,38,1,0.0,2,1,1,38733.33,0
15600160,Cust160,703,France,Male,40,5,0.0,1,1,1,29418.17,0
15600161,Cust161,611,Spain,Female,41,0,0.0,1,1,0,161239.35,0
15600162,Cust162,622,France,Male,49,0,0.0,2,1,0,143826.64,0
15600163,Cust163,844,France,Male,43,3,0.0,1,1,0,96017.09,1
15600164,Cust164,616,Germany,Male,36,6,0.0,1,0,1,36722.97,1
15600165,Cust165,706,France,Female,30,8,0.0,1,1,0,157170.74,0
15600166,Cust166,627,Spain,Female,33,10,75864.72,1,1,1,78878.53,0
15600167,Cust167,754,Spain,Female,41,7,78641.24,1,1,0,157799.46,0
15600168,Cust168,759,France,Female,31,10,0.0,1,1,1,143154.95,0
15600169,Cust169,648,Spain,Male,47,3,68955.98,1,1,1,186781.64,0
15600170,Cust170,611,France,Male,42,7,90176.96,1,0,1,23823.59,0
15600171,Cust171,609,Germany,Male,49,0,0.0,1,1,0,132599.6,0
15600172,Cust172,484,France,Female,32,1,115714.12,2,1,0,160791.64,1
15600173,Cust173,660,Spain,Male,30,7,49068.33,1,1,0,66088.76,0
15600174,Cust174,658,France,Male,49,3,0.0,1,1,0,150279.2,0
15600175,Cust175,572,France,Female,39,6,65747.48,2,1,0,67278.23,0
15600176,Cust176,474,France,Male,36,10,116279.46,1,0,1,131006.24,0
15600177,Cust177,670,Spain,Female,45,8,149743.1,1,1,1,139620.27,0
15600178,Cust178,682,Spain,Male,45,3,0.0,2,1,0,180171.8,0
15600179,Cust179,688,Germany,Female,25,7,0.0,2,1,1,190720.53,0
15600180,Cust180,555,Spain,Female,52,10,49407.11,1,1,0,199400.25,0
15600181,Cust181,688,Spain,Female,34,2,67228.91,1,1,0,142138.71,0
15600182,Cust182,633,Germany,Male,55,6,140356.33,1,1,0,120417.64,1
15600183,Cust183,733,France,Male,25,8,25223.55,1,1,0,140055.47,0
15600184,Cust184,556,Spain,Male,41,7,75167.39,2,0,1,152236.59,0
15600185,Cust185,760,Germany,Male,36,5,58233.4,2,1,0,165176.13,1
15600186,Cust186,795,France,Female,18,4,0.0,1,0,0,65985.61,0
15600187,Cust187,661,France,Male,45,6,69110.49,2,1,1,144976.56,0
15600188,Cust188,689,Germany,Male,19,5,21646.48,2,0,0,47296.94,1
15600189,Cust189,725,France,Male,35,3,127331.11,3,0,0,30477.78,1
15600190,Cust190,552,Spain,Female,49,9,115591.26,1,0,1,160915.53,0
15600191,Cust191,603,France,Male,33,8,140269.87,2,1,0,120657.92,0
15600192,Cust192,668,France,Male,29,7,0.0,1,0,1,100960.11,0
15600193,Cust193,845,Spain,Male,46,2,0.0,1,1,1,86266.28,0
15600194,Cust194,535,France,Male,36,5,140170.18,1,1,1,59317.45,0
15600195,Cust195,807,France,Female,34,2,0.0,1,1,0,121790.89,0
15600196,Cust196,631,Germany,Male,51,1,0.0,1,1,1,27099.43,0
15600197,Cust197,647,Spain,Female,26,2,137504.52,1,1,0,142676.77,0
15600198,Cust198,767,France,Female,33,1,102006.43,2,1,1,103154.89,0
15600199,Cust199,844,France,Female,47,8,104287.45,2,1,1,130176.23,0
15600200,Cust200,691,Spain,Female,26,5,96946.78,2,1,1,16970.61,0
15600201,Cust201,762,Spain,Female,56,8,104340.49,2,1,1,81747.93,0
15600202,Cust202,562,Germany,Male,36,10,75398.81,1,1,1,86532.9,0
15600203,Cust203,599,France,Male,47,2,115329.83,2,1,1,120204.48,0
